Title,Job_Category,Summer_Internship,Resume_Drop,Position_Type,Seniority_Level,MLT_Event,Title_Word_Count
Intern,Other,0,0,Intern,Unspecified,0,1
Assurance,Other,0,0,Unspecified,Unspecified,0,1
CFO FPA Intern (Summer 2025),Finance,1,0,Intern,Unspecified,0,5
Marketing Operations- Intern,Marketing,0,0,Intern,Unspecified,0,3
Product Marketing- Intern,Marketing,0,0,Intern,Unspecified,0,3
Marketing Web Infrastructure & Operations- Intern,Technology,0,0,Intern,Unspecified,0,6
Cyber Security Product Security SecDevOps-Intern,Cyber Security,0,0,Intern,Unspecified,0,5
Software Engineering- Intern (Multiple Verticals),Technology,0,0,Intern,Unspecified,0,5
Cyber Security IR & Forensics- Intern,Cyber Security,0,0,Intern,Unspecified,0,6
Business Operations Customer Experience- Intern  ,Operations,0,0,Intern,Unspecified,0,5
Project Management- Intern,Product Management,0,0,Intern,Unspecified,0,3
Content Marketing- Intern,Marketing,0,0,Intern,Unspecified,0,3
Digital Marketing- Intern,Marketing,0,0,Intern,Unspecified,0,3
Education - Leadership & Management Intern,Other,0,0,Intern,Unspecified,0,6
Tech Trek Mock Interviews,Technology,0,0,Unspecified,Unspecified,1,4
2025 Summer Intern: Tech UX Design,Technology,1,0,Intern,Unspecified,0,6
2025 Summer Intern: Tech Business Analyst & Project Coord.,Technology,1,0,Intern,Unspecified,0,9
2025 Summer Intern: Tech Software Development & Engineering,Technology,1,0,Intern,Unspecified,0,8
2025 Summer Intern: Tech Data Analytics/Engineer/Science,Technology,1,0,Intern,Unspecified,0,6
2025 Summer Intern: Sales (RESUME DROP ONLY),Sales,1,1,Intern,Unspecified,0,7
2025 Summer Internship Program - Human Resources - NY/NJ,Human Resources,1,0,Intern,Unspecified,0,9
2025 Summer Analyst Program - Equity Research - New York,Finance,1,0,Analyst,Unspecified,0,10
Internship - Digital & Technology,Technology,0,0,Intern,Unspecified,0,5
Internship - Sourcing Analyst (RESUME DROP ONLY),Supply Chain,0,1,Intern,Unspecified,0,7
Internship - Consumer and Market Insights,Marketing,0,0,Intern,Unspecified,0,6
Internship - Financial Analyst (RESUME DROP ONLY),Finance,0,1,Intern,Unspecified,0,7
Internship - North American Retail Sales,Sales,0,0,Intern,Unspecified,0,6
Internship - North America Foodservice Sales,Sales,0,0,Intern,Unspecified,0,6
Software Engineer Intern,Technology,0,0,Intern,Unspecified,0,3
"Inventory Analyst Intern - Minneapolis, MN -RESUME DROP ONLY",Other,0,1,Intern,Unspecified,0,9
Financial Analyst Internship RESUME DROP ONLY (Summer 2025),Finance,1,1,Intern,Unspecified,0,8
"BOLD Intern (Sales, Marketing, Finance, Program Mgmt & more)",Finance,0,0,Intern,Unspecified,0,9
2025 Bloomberg Customer Support Internship (All Languages),Other,0,0,Intern,Unspecified,0,7
"Intern, IT - Information Security (RESUME DROP ONLY)",Cyber Security,0,1,Intern,Unspecified,0,8
"Intern, IT - Business Strategy (RESUME DROP ONLY)",Other,0,1,Intern,Unspecified,0,8
"Intern, Reservations (Spring 2025) (RESUME DROP ONLY)",Other,0,1,Intern,Unspecified,0,7
IT Reliability Architecture & Infra Services RESUME DROP ONL,Other,0,1,Unspecified,Unspecified,0,9
